subject,anat HEAD,anat BRIK,funcon HEAD,funcon BRIK,all Links OK?, cleanEPI.MNI exists, #ventricle voxels in mask, #wm voxels in mask
105_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,24, 3037
106_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89, 3182
106_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,103, 3191
107_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,82, 3746
108_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36, 3371
109_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34, 2655
111_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38, 3771
111_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34, 3770
112_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26, 3392
112_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,32, 3477
113_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20, 2981
114_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23, 3292
116_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28, 2964
117_A2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No File,No File
117_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38, 3402
118_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72, 2571
118_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74, 2449
119_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7, 3253
120_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61, 3000
120_C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,51, 3054
121_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54, 3736
122_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17, 3315
123_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49, 3360
124_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37, 3157
125_A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No File,No File
126_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2, 3538
127_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50, 3672
130_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34, 2730
131_A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54, 2853
